title	year	Director1	Genre1	Genre2	Genre3	stars
Lucky (2011/III)	2011	Gil Cates Jr.	Comedy	None	None	5
The Dark Half (1993)	1993	George A. Romero	Mystery	Horror	None	6
Rabbits (2002)	2002	David Lynch	Horror	Fantasy	Drama	7
Ordinary Decent Criminal (2000)	2000	Thaddeus O'Sullivan	Crime	Comedy	None	6
Everything Will Be Ok (2006)	2006	Don Hertzfeldt	Comedy	Short	Animation	8
Blindness (2008)	2008	Fernando Meirelles	Sci-Fi	Mystery	Drama	7
Dor (2006)	2006	Nagesh Kukunoor	Drama	None	None	8
Legion (2010)	2010	Scott Stewart	Horror	Fantasy	Action	5
Dead Birds (2004)	2004	Alex Turner	Western	Thriller	Horror	6
All Things Fall Apart (2011)	2011	Mario Van Peebles	Sport	Drama	None	6
Ringmaster (1998)	1998	Neil Abramson	Comedy	None	None	3
Awaydays (2009)	2009	Pat Holden	Drama	None	None	6
Dead Space: Aftermath (2011) (V)	2011	Mike Disa	Sci-Fi	Horror	Animation	6
The Evening Star (1996)	1996	Robert Harling	Romance	Drama	Comedy	6
Donner Pass (2011)	2011	Elise Robertson	Horror	None	None	4
Tabloid (2010)	2010	Errol Morris	Crime	Documentary	None	7
Carandiru (2003)	2003	Hector Babenco	Crime	Drama	None	8
Threesome (1994)	1994	Andrew Fleming	Drama	Romance	Comedy	6
L.I.E. (2001)	2001	Michael Cuesta	Drama	Crime	None	7
Impostor (2001)	2001	Gary Fleder	Sci-Fi	Mystery	Drama	6
Bondage (2006)	2006	Eric Allen Bell	Drama	Biography	None	8
London (2005/I)	2005	Hunter Richards	Romance	Drama	None	7
Hellbound: Hellraiser II (1988)	1988	Tony Randel	Thriller	Horror	None	6
Frailty (2001)	2001	Bill Paxton	Thriller	Drama	Crime	7
The Alphabet (1968)	1968	David Lynch	Fantasy	Short	Animation	7
Bambi Meets Godzilla (1969)	1969	Marv Newland	Comedy	Short	Animation	7
Chef (2014)	2014	Jon Favreau	Drama	Comedy	None	7
Scary Movie 5 (2013)	2013	Malcolm D. Lee	Comedy	None	None	4
The Ouija Experiment (2011)	2011	Israel Luna	Horror	None	None	3
Nude Nuns with Big Guns (2010)	2010	Joseph Guzman	Thriller	Comedy	Action	4
Infamous 2 (2011) (VG)	2011	Nate Fox	Sci-Fi	Drama	Action	8
Samehada otoko to momojiri onna (1998)	1998	Katsuhito Ishii	Thriller	Action	Mystery	7
Trog (1970)	1970	Freddie Francis	Horror	None	None	4
The Clock (1945)	1945	Vincente Minnelli	Romance	Drama	None	8
Thalapathi (1991)	1991	Mani Ratnam	Drama	Crime	None	9
The Scarlet Pimpernel (1982) (TV)	1982	Clive Donner	Action	Drama	Romance	8
The Legend of Hercules (2014)	2014	Renny Harlin	Fantasy	Adventure	Action	4
Brothers (2015/I)	2015	Karan Malhotra	Sport	Drama	Action	7
The Wiz Live! (2015) (TV)	2015	Matthew Diamond	Musical	None	None	7
Animal Crackers (1930)	1930	Victor Heerman	Musical	Comedy	None	8
The Cell 2 (2009) (V)	2009	Tim Iacofano	Thriller	Sci-Fi	Horror	3
The Center of the World (2001)	2001	Wayne Wang	Romance	Drama	None	6
My Family (1995)	1995	Gregory Nava	Drama	None	None	7
Nanking (2007)	2007	Bill Guttentag	War	History	Biography	8
Freaky Friday (1976)	1976	Gary Nelson	Fantasy	Family	Comedy	6
Dust (2001/I)	2001	Milcho Manchevski	Western	Romance	Drama	7
Khaleja (2010)	2010	Trivikram Srinivas	Drama	Comedy	Action	8
Super (2010/I)	2010	James Gunn	Drama	Crime	Comedy	7
Dante 01 (2008)	2008	Marc Caro	Thriller	Sci-Fi	None	5
Gloria (2013/II)	2013	Sebastián Lelio	Drama	Comedy	None	7
Another Earth (2011)	2011	Mike Cahill	Sci-Fi	Romance	Drama	7
A Scanner Darkly (2006)	2006	Richard Linklater	Mystery	Drama	Animation	7
Le capital (2012)	2012	Orit Ben-Shitrit	History	Drama	Short	6
Far from the Madding Crowd (1967)	1967	John Schlesinger	Romance	History	Drama	7
Angus, Thongs and Perfect Snogging (2008)	2008	Gurinder Chadha	Romance	Drama	Comedy	6
Psycho (1960)	1960	Alfred Hitchcock	Thriller	Mystery	Horror	8
Overboard (1987)	1987	Garry Marshall	Romance	Comedy	None	7
Carry on Henry (1971)	1971	Gerald Thomas	Romance	Comedy	None	6
P.S. I Love You (2007)	2007	Richard LaGravenese	Romance	Drama	None	7
The Unknown (1927)	1927	Tod Browning	Romance	Horror	Drama	8
Star Wars: Episode V - The Empire Strikes Back (1980)	1980	Irvin Kershner	Fantasy	Adventure	Action	9
Padaiyappa (1999)	1999	K.S. Ravikumar	Drama	Comedy	Action	8
Bigger Than Life (1956)	1956	Nicholas Ray	Drama	None	None	8
Talk to Me (2007)	2007	Kasi Lemmons	History	Drama	Biography	7
Showdown in Little Tokyo (1991)	1991	Mark L. Lester	Crime	Comedy	Action	6
The Ice Storm (1997)	1997	Ang Lee	Drama	None	None	8
Suicide Kings (1997)	1997	Peter O'Fallon	Mystery	Drama	Comedy	7
Messenger of Death (1988)	1988	J. Lee Thompson	Thriller	Crime	Action	6
Stargate: The Ark of Truth (2008) (V)	2008	Robert C. Cooper	Drama	Adventure	Action	7
Turbo: A Power Rangers Movie (1997)	1997	Shuki Levy	Family	Adventure	Action	3
Griff the Invisible (2010)	2010	Leon Ford	Romance	Drama	Comedy	6
While the City Sleeps (1956)	1956	Fritz Lang	Film-Noir	Drama	Crime	7
Robinson Crusoe on Mars (1964)	1964	Byron Haskin	Sci-Fi	Adventure	None	7
The Other (1972)	1972	Robert Mulligan	Mystery	Horror	Drama	7
The Jerk (1979)	1979	Carl Reiner	Comedy	None	None	7
Boarding Gate (2007)	2007	Olivier Assayas	Thriller	Drama	None	5
Sleeping with the Enemy (1991)	1991	Joseph Ruben	Thriller	Drama	Crime	6
Miami Connection (1987)	1987	Woo-sang Park	Thriller	Crime	Action	6
Hope Springs (2012)	2012	David Frankel	Romance	Drama	Comedy	6
Big Trouble (2002)	2002	Barry Sonnenfeld	Thriller	Crime	Comedy	6
Easy Rider (1969)	1969	Dennis Hopper	Drama	Adventure	None	7
Rush (2013/I)	2013	Ron Howard	Drama	Biography	Action	8
'I Know Where I'm Going!' (1945)	1945	Michael Powell	Romance	Drama	None	8
Parinda (1989)	1989	Vidhu Vinod Chopra	Drama	Crime	Action	8
Poolboy: Drowning Out the Fury (2011)	2011	Garrett Brawith	Comedy	None	None	5
The Hollywood Knights (1980)	1980	Floyd Mutrux	Comedy	None	None	6
Hidalgo (2004)	2004	Joe Johnston	Western	Adventure	Action	7
Purely Belter (2000)	2000	Mark Herman	Drama	Comedy	None	7
The Flintstones in Viva Rock Vegas (2000)	2000	Brian Levant	Romance	Family	Comedy	4
Houseboat (1958)	1958	Melville Shavelson	Family	Drama	Comedy	7
Toolbox Murders (2004)	2004	Tobe Hooper	Thriller	Mystery	Horror	5
Missing in Action 2: The Beginning (1985)	1985	Lance Hool	Thriller	Drama	Action	5
Ben 10: Race Against Time (2007) (TV)	2007	Alex Winter	Family	Comedy	Action	4
Marvel One-Shot: Item 47 (2012) (V)	2012	Louis D'Esposito	Sci-Fi	Action	Short	7
Sharpe's Rifles (1993) (TV)	1993	Tom Clegg	History	Adventure	Action	8
Portrait of Jennie (1948)	1948	William Dieterle	Fantasy	Romance	Drama	8
Chalte Chalte (2003)	2003	Aziz Mirza	Romance	Drama	None	7
Levity (2003)	2003	Ed Solomon	Drama	Crime	None	6
Inescapable (2012)	2012	Ruba Nadda	Romance	Mystery	Drama	5
The Big Steal (1949)	1949	Don Siegel	Romance	Film-Noir	Crime	7
Root of All Evil? (2006) (TV)	2006	Russell Barnes	Documentary	None	None	8
Gulliver's Travels (1939)	1939	Dave Fleischer	Family	Adventure	Animation	7
Last of the Dogmen (1995)	1995	Tab Murphy	Western	Adventure	None	7
Secretariat (2010)	2010	Randall Wallace	Family	Drama	Biography	7
The Amazing Spider-Man 2 (2014)	2014	Marc Webb	Fantasy	Adventure	Action	7
High School High (1996)	1996	Hart Bochner	Romance	Crime	Comedy	5
The Rover (2014)	2014	David Michôd	Drama	Crime	None	6
Renaissance (2006)	2006	Christian Volckman	Sci-Fi	Action	Animation	7
Grandma (2015)	2015	Paul Weitz	Drama	Comedy	None	7
El perro (2004)	2004	Carlos Sorin	Drama	None	None	7
Captain Kronos - Vampire Hunter (1974)	1974	Brian Clemens	Horror	None	None	7
Zelary (2003)	2003	Ondrej Trojan	Drama	Romance	None	8
Creepshow (1982)	1982	George A. Romero	Horror	Fantasy	Comedy	7
Hercules (1997)	1997	Ron Clements	Comedy	Adventure	Animation	7
Prey (2007/I)	2007	Darrell Roodt	Thriller	Horror	Adventure	5
Lucky You (2007)	2007	Curtis Hanson	Sport	Romance	Drama	6
The Deadly Affair (1966)	1966	Sidney Lumet	Mystery	Drama	Crime	7
City by the Sea (2002)	2002	Michael Caton-Jones	Mystery	Drama	Crime	6
Scream 3 (2000)	2000	Wes Craven	Mystery	Horror	None	6
Bangkok Dangerous (2008)	2008	Danny Pang	Thriller	Crime	Action	5
Born to Be Wild (2011)	2011	David Lickley	Adventure	Short	Documentary	8
Knock Off (1998)	1998	Hark Tsui	Thriller	Comedy	Action	5
Crysis (2007) (VG)	2007	Cevat Yerli	Thriller	Sci-Fi	Action	8
Underdog (2007)	2007	Frederik Du Chau	Comedy	Adventure	Action	5
My Favorite Brunette (1947)	1947	Elliott Nugent	Mystery	Crime	Comedy	7
Dogville (2003)	2003	Lars von Trier	Drama	Crime	None	8
A Christmas Carol (2009)	2009	Robert Zemeckis	Family	Drama	Animation	7
John Carter (2012)	2012	Andrew Stanton	Sci-Fi	Adventure	Action	7
Death Sentence (2007)	2007	James Wan	Thriller	Crime	Action	7
Age of Consent (1969)	1969	Michael Powell	Drama	Comedy	Biography	6
Convoy (1978)	1978	Sam Peckinpah	Drama	Action	None	6
Alai Payuthey (2000)	2000	Mani Ratnam	Romance	Musical	Drama	8
Afterwards (2008)	2008	Gilles Bourdos	Thriller	Mystery	Drama	6
Children of the Corn: Revelation (2001) (V)	2001	Guy Magar	Thriller	Horror	None	3
